Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Afghanistan	8774440	8953544	9141783	9339507	9547131	9765015	9990125	10221902	10465770	10729191	11015621	11323446	11644377	11966352	12273589	12551790	12806810	13034460	13199597	13257128	13180431	12963788	12634494	12241928	11854205	11528977	11262439	11063107	11013345	11215323	11731193	12612043	13811876	15175325	16485018	17586073	18415307	19021226	19496836	19987071	20595360	21347782	22202806	23116142	24018682	24860855	25631282	26349243	27032197	27708187	28397812	29105480	29824536	30551674
Albania	1608800	1659800	1711319	1762621	1814135	1864791	1914573	1965598	2022272	2081695	2135479	2187853	2243126	2296752	2350124	2404831	2458526	2513546	2566266	2617832	2671997	2726056	2784278	2843960	2904429	2964762	3022635	3083605	3142336	3227943	3286542	3266790	3247039	3227287	3207536	3187784	3168033	3148281	3128530	3108778	3089027	3064111	3051427	3033659	3014579	2992724	2968028	2940880	2912559	2884303	2856673	2829337	2801681	2773620
Algeria	11277757	11560650	11844928	12136371	12443175	12771084	13122912	13496577	13887045	14286826	14690855	15098212	15511892	15935594	16374671	16833516	17311457	17808536	18330535	18884689	19475204	20103931	20766568	21453278	22150483	22847437	23539383	24225748	24904931	25576596	26239708	26893663	27535151	28157560	28752749	29315463	29845208	30345466	30820435	31276295	31719449	32150198	32572977	33003442	33461345	33960903	34507214	35097043	35725377	36383302	37062820	37762962	38481705	39208194
Argentina	20623998	20959241	21295290	21630854	21963952	22293817	22618887	22941477	23269302	23612675	23978532	24370660	24785830	25215328	25646533	26070443	26483835	26889764	27293093	27701412	28120135	28550123	28989069	29435404	29886564	30340419	30796481	31254574	31713147	32170407	32624874	33075194	33520803	33961947	34399343	34833168	35264070	35690778	36109342	36514558	36903067	37273361	37627545	37970411	38308779	38647854	38988923	39331357	39676083	40023641	40374224	40728738	41086927	41446246
Australia	10276477	10483000	10742000	10950000	11167000	11388000	11651000	11799000	12009000	12263000	12507000	12937000	13177000	13380000	13723000	13893000	14033000	14192000	14358000	14514000	14692000	14927000	15178000	15369000	15544000	15758000	16018400	16263900	16532200	16814400	17065100	17284000	17495000	17667000	17855000	18072000	18311000	18517000	18711000	18926000	19153000	19413000	19651400	19895400	20127400	20394800	20697900	20827600	21249200	21691700	22031800	22340000	22723900	23130900
Austria	7047539	7086299	7129864	7175811	7223801	7270889	7322066	7376998	7415403	7441055	7467086	7500482	7544201	7586115	7599038	7578903	7565525	7568430	7562305	7549425	7549433	7568710	7574140	7561910	7561434	7564985	7569794	7574586	7585317	7619567	7677850	7754891	7840709	7905633	7936118	7948278	7959017	7968041	7976789	7992324	8011566	8042293	8081957	8121423	8171966	8227829	8268641	8300788	8336926	8365275	8389771	8406187	8429991	8473786
Bangladesh	49537147	50953503	52403243	53909233	55503132	57200412	59029826	60966588	62909226	64719958	66308862	67627868	68730070	69751017	70883201	72265173	73944664	75880084	78011624	80241773	82498440	84764142	87060582	89399666	91804318	94287722	96851505	99476987	102133217	104779345	107385847	109934590	112430968	114897543	117369492	119869585	122400896	124945315	127478524	129966823	132383265	134729503	137006279	139185986	141235035	143135180	144868702	146457067	147969967	149503100	151125475	152862431	154695368	156594962
Belgium	9153489	9183948	9220578	9289770	9378113	9463667	9527807	9580991	9618756	9646032	9655549	9673162	9711115	9741720	9772419	9800700	9818227	9830358	9839534	9848382	9859242	9858982	9856303	9855520	9855372	9858308	9861823	9870234	9901664	9937697	9967379	10004486	10045158	10084475	10115603	10136811	10156637	10181245	10203008	10226419	10251250	10286570	10332785	10376133	10421137	10478617	10547958	10625700	10709973	10796493	10920272	11047744	11128246	11195138
Bolivia	3353125	3428270	3505427	3584782	3666584	3751047	3838156	3927961	4020815	4117153	4217248	4321324	4429194	4540197	4653409	4768177	4884284	5001971	5121608	5243771	5368901	5497112	5628347	5762673	5900127	6040757	6184440	6331219	6481463	6635658	6794046	6956736	7123294	7292745	7463773	7635362	7806953	7978521	8150214	8322408	8495271	8669066	8843350	9016787	9187610	9354709	9517395	9676456	9834098	9993406	10156601	10324445	10496285	10671200
Brazil	72775883	74988037	77286629	79643017	82017016	84379369	86721875	89052356	91377490	93709914	96060361	98427874	100812672	103228641	105693434	108219657	110808302	113455308	116160978	118924135	121740438	124610790	127525420	130455659	133364277	136223043	139023394	141767626	144452622	147078659	149648341	152153539	154597985	157011131	159432909	161890816	164392423	166925457	169472347	172006362	174504898	176968205	179393768	181752951	184010283	186142403	188134315	189996976	191765567	193490922	195210154	196935134	198656019	200361925
Bulgaria	7867374	7943118	8012946	8078145	8144340	8204168	8258057	8310226	8369603	8434172	8489574	8536395	8576200	8620967	8678745	8720742	8758599	8804183	8814032	8825940	8861535	8891117	8917457	8939738	8960679	8960547	8958171	8971359	8981446	8876972	8718289	8632367	8540164	8472313	8443591	8406067	8362826	8312068	8256786	8210624	8170172	8020282	7868468	7823557	7781161	7739900	7699020	7545338	7492561	7444443	7395599	7348328	7305888	7265115
